0 th order coefficient,1st order coefficient,2nd order coefficient,3rd order coefficient,4th order coefficient,5th order coefficient,6th order coefficient,7th order coefficient,8th order coefficient,9th order coefficient,10th order coefficient,11 th order coefficient,12th order coefficient,13 th order coefficient,Delta of 0th order coefficient,Delta of 1st order coefficient,Delta of 2nd order coefficient,Delta of 3rd order coefficient,Delta of 4th order coefficient,Delta of 5th order coefficient,labels
-439.13741,27.59916993,10.44340172,10.21224089,3.036715577,0.987332674,-1.972631397,-7.565548528,-7.744610201,-4.309845456,-2.234352498,-1.720545935,-1.773776149,-3.415418078,-2.131440438,-0.505018537,-3.521424701,-2.331974991,0.090601537,-1.836856729,male_neutral
-703.6282959,68.2326355,-1.084087253,18.40284729,3.094543695,3.564474583,-7.064164162,-9.075957298,-14.78149414,-0.478428245,-0.635939062,-0.366353989,-2.66982007,-4.064119339,-3.341044903,0.294026792,-8.886706352,1.940172434,-0.385911405,-1.850198507,male_neutral
-654.0233154,89.36430359,0.995040119,22.60305977,8.381457329,4.046992302,-7.557062626,-3.923858643,-16.6169014,-5.340372086,-1.111468673,-2.939268827,-1.57356894,-3.198854685,-2.713579416,3.653049231,-9.672165871,0.339398235,-3.426068306,-0.930848718,male_calm
-484.0387816,34.33638456,12.45679808,11.47873095,5.373525067,0.913469915,-3.710062878,-6.354834012,-8.690010091,-6.453967873,-2.078230478,-1.623462421,-1.599689738,-2.406172265,-1.015384957,-0.50058492,-3.906180065,-2.448010572,-0.991870073,-3.588872501,male_calm
-708.7550049,85.67456818,-1.967664242,23.04814148,5.558242798,3.321639061,-10.60004997,-6.781432629,-19.76376152,-3.483285666,-2.194732189,-3.899533033,-3.273221731,-4.133731365,-2.445999384,-1.104772568,-10.17623425,0.901135266,-4.420289993,-2.361186504,male_calm
-634.9024048,98.29605865,0.636593759,18.04615784,11.56665039,3.444861412,-8.761352539,-4.836172104,-14.20436001,-5.112384319,0.419737935,-1.675529003,-2.278909683,-3.387112617,-4.161484241,3.064069033,-8.849153519,-1.748451352,-2.698629379,-0.811098516,male_calm
-485.8940287,42.18336206,15.88749883,12.23399344,7.649969334,2.108693264,-4.231247053,-6.887241786,-8.627271481,-5.433512847,-1.317635942,-1.594965749,-1.957554338,-2.169488186,-1.215459703,-0.890417326,-4.36370132,-3.434137906,-0.805274486,-2.321875919,male_calm
-697.3949585,97.18049622,-2.596803188,17.72118378,7.419106483,2.190440178,-11.3373785,-6.362157822,-16.56066895,-3.187721729,-1.85319531,-2.186598539,-3.382938623,-4.147399426,-3.922172546,-0.567140996,-11.61475849,-0.268286258,-3.38603735,-3.670119047,male_calm
-621.4452515,93.0503006,-1.646290302,21.0435257,5.413839817,6.051486492,-4.661797047,-4.759570599,-14.75180721,-4.461733341,0.187933579,-0.410027951,-0.391741723,-4.596021652,-0.154920354,1.784917593,-10.88496494,-2.171773672,-1.947451115,-1.037186384,male_calm
-454.1149633,38.09970474,11.52104835,11.49929128,4.757725321,2.910311373,-1.822708943,-6.82216524,-8.374768235,-5.697888598,-0.164375194,0.416029661,-1.715848353,-2.741585857,0.157256339,-0.986795624,-5.974243482,-3.636158677,2.35E-05,-3.286194224,male_calm
-687.5424194,91.49290466,-2.146530151,24.03203392,2.016270638,6.427474499,-8.305131912,-6.806334496,-17.70342445,-0.926216662,1.821553588,1.431389213,-1.583070517,-3.283965349,0.752392352,-2.262619019,-11.49691677,-0.944883227,-1.501264215,-2.563416958,male_calm
-627.571106,95.67068481,-2.467723131,19.58654976,7.754917145,3.747520447,-4.423015594,-6.850055695,-14.0684185,-4.979930878,-1.581328511,-1.236810446,-0.696859241,-3.946902514,-1.710543036,2.79578352,-9.965592384,-1.566962361,-2.761066675,-0.446928054,male_calm
-407.9378772,29.60661823,12.7748877,8.761887058,3.88170642,2.335442911,-1.389796849,-6.264951093,-7.867088194,-5.430669506,-1.041938953,0.062397966,-1.067556871,-1.820220889,-0.587129503,-0.894011014,-4.216600047,-2.638327657,-0.105864811,-2.633981675,male_calm
-681.5339355,92.24823761,-4.75113678,19.47982597,4.604254246,2.415508032,-8.051052094,-9.848820686,-15.99639797,-3.365303993,-1.104194403,-0.556667864,-2.031601429,-5.298657894,-0.138701826,-1.311971426,-10.02785778,-0.12092229,-3.756336212,-5.125597477,male_calm
-639.2920532,106.4723434,2.723686218,22.64263535,10.4211359,4.955759048,-8.705751419,-2.053590059,-12.41681004,-4.456889153,0.061347418,2.016199827,-2.95263958,-3.571938038,-2.225413322,2.603613853,-5.002157688,-2.031135798,-2.573095322,3.251475096,male_calm
-560.2254616,71.02057239,13.85809251,15.45851792,8.942204371,1.55892914,-5.879390499,-5.382994203,-9.000276141,-6.536333702,0.624240285,0.413406735,-2.424201557,-3.806450264,-1.598645382,1.358205873,-3.849876959,-4.371526847,0.240955075,-0.980013652,male_calm
-695.3518066,102.7554092,0.090186678,23.15523148,7.459075928,3.617738008,-10.10620117,-3.52774477,-14.98070717,-2.632516861,1.186468482,0.829935968,-4.847153187,-2.749136925,-1.925502777,-0.519087255,-4.749388218,-2.316164255,0.3698484,-1.895613909,male_calm
-595.588623,101.8925629,-3.357778788,20.96164322,5.999679565,3.028616667,-10.50850677,-6.227045059,-14.94239998,-5.679944515,0.431929976,0.166081056,-3.994026184,-4.970128536,-2.852318287,1.088528395,-9.059731483,-1.600110412,-3.504232645,1.043079972,male_calm
-474.8760693,44.41372086,16.54343543,11.55863836,5.934364413,2.80163644,-4.738037512,-6.500976566,-7.762620224,-5.942742164,0.175627389,0.383414193,-2.362674269,-2.977832158,-1.178483885,-0.651396463,-5.013102683,-3.519472234,0.317789369,-2.029362242,male_calm
-659.6387939,98.83442688,-6.353309155,22.8728447,0.880933285,2.209707737,-14.68874454,-6.304223537,-17.38480186,-3.879113436,-1.503046274,-0.41714105,-7.248078346,-4.228416443,-3.030288458,-2.631886005,-10.63693619,-0.315659255,-2.852994442,-2.650371075,male_calm
-586.6036377,92.7562561,3.772062302,22.15276718,1.152607918,10.25331402,-11.19668674,-5.143622875,-16.42403412,-6.073055267,-2.4094069,3.821784019,-3.289758682,-3.777769804,-1.372209907,0.443140984,-11.66453266,-1.764448643,-4.53749609,0.901040733,male_calm
-465.8563429,43.70783873,18.44861108,12.70325223,2.515035878,5.797824201,-3.874090402,-8.91967164,-8.435542437,-7.52571801,-1.259098445,1.8205518,-2.777245644,-2.535713095,-0.150748078,-1.592234257,-6.647504255,-4.28403026,-1.214911865,-4.406930136,male_calm
-640.9667969,87.44100189,1.13742578,21.88177109,-3.24591589,10.26323223,-16.20842171,-7.822479248,-18.53892136,-2.758011103,-1.233037472,4.534926414,-5.925082207,-2.422944546,-0.199402198,-2.290929317,-10.89779949,-1.453049898,-4.982745171,-4.934606552,male_calm
-568.3204956,99.88237762,-8.903763771,26.24058342,5.274557114,7.370071411,-10.65202999,-8.937425613,-18.40190125,-3.291551113,1.95218122,1.885897636,-3.038985968,-5.607342243,-3.620034695,3.230149746,-10.00466824,-1.294383049,-4.130986214,1.730690598,male_calm
-488.1562473,56.21209848,12.93336359,14.73228778,6.478316544,4.72491963,-6.652728986,-11.11326375,-12.42904087,-6.194849893,1.288629439,1.437040273,-2.462894827,-4.124830019,-1.729582348,-0.543198228,-7.316773763,-5.052796587,-0.192465793,-2.626441961,male_calm
-628.7224731,93.44242096,-12.86215401,26.28415489,0.302146167,6.361672401,-15.90752316,-10.79100704,-19.92152786,0.826451123,2.337095737,0.983093739,-6.467063427,-5.784718513,-1.580746055,1.61623323,-10.8738575,1.140906453,-2.338332891,-2.802212954,male_calm
-576.2686157,89.02023315,-8.752735138,18.86438179,3.26670289,-2.777871847,-10.32872486,-7.970882893,-18.3840313,-2.061303139,-4.056687355,-8.218242645,-0.478873283,-5.306118965,-5.274597168,4.179987907,-12.84071159,-2.814511299,-4.987879276,-2.453881264,male_happy
-440.1834797,47.41869434,4.852936084,10.59191466,2.976039257,-4.7441017,-5.617547437,-8.910867353,-11.09186358,-6.074048689,-4.504157367,-5.136744918,-1.979464042,-3.774819376,-2.613436725,-0.118240985,-6.937960657,-5.048367519,-1.916734212,-4.717493058,male_happy
-630.1898193,84.12653351,-10.90128136,20.46627808,-0.59961164,-3.834613323,-11.78056049,-10.11980629,-17.9696064,0.229090139,-6.714002132,-7.491251945,-0.442494482,-6.636742115,-2.247440577,0.863366604,-14.0352459,-0.925328255,-4.238312244,-3.879385471,male_happy
-565.3625488,89.27851105,-10.30868149,23.17735672,7.062926769,-0.555720389,-11.02323055,-5.009452343,-20.80873871,-0.309845418,-1.573599815,-7.354365826,3.020359755,-4.08562088,-4.700695992,5.788672447,-12.34147549,-2.6136868,-0.928625345,-1.275900722,male_happy
-344.9014621,26.7638245,6.896400629,7.387145449,4.038346965,-2.918748741,-3.959963631,-7.062914104,-9.216511356,-4.938927967,-2.895794284,-3.120749618,-0.31051229,-2.289237527,-1.749630307,-0.063799195,-5.149119415,-3.638428051,0.728108598,-2.21328714,male_happy
-616.9772949,83.23654938,-13.20591354,23.27099037,4.446398258,-4.033607006,-12.35606384,-7.627114296,-20.96012306,3.129490137,-4.028791428,-5.305505276,3.377469063,-6.170847893,-0.832281947,2.943054914,-12.51966667,0.300016731,-1.389920115,-4.555736065,male_happy
-583.0961304,90.00450897,-5.426440239,20.23043633,0.538057983,1.686666131,-9.961407661,-8.426021576,-21.40812492,-2.932337999,1.52426815,-8.213862419,1.042757273,-4.22268486,-2.591974258,3.79651022,-11.07363892,-1.45535183,-2.782280207,-3.452283859,male_happy
-421.6998366,39.34869228,11.71901392,9.994240699,1.343585354,-2.984791856,-5.712289908,-9.786171145,-12.50525348,-6.907272191,-1.857455547,-2.722427867,-1.383858884,-2.035157494,-0.837518965,-0.574929691,-6.093906334,-3.823295203,-1.127661628,-4.031266194,male_happy
-639.2697144,87.66653442,-8.718021393,18.61787224,-4.092956543,0.764803052,-13.78209114,-11.71864796,-23.66332245,1.663013101,0.35400334,-6.062434673,-0.168162927,-6.265880585,-0.250438094,-1.009465814,-13.20790386,0.67732203,-3.413677454,-5.609086514,male_happy
-561.4292603,83.67436981,-5.770049095,27.3003273,-1.438222051,0.995006442,-8.031632423,-8.432344437,-23.55179405,-4.637812138,-2.717692614,-6.065729141,0.475432515,-5.413794518,-4.556314945,2.524138451,-13.68038368,-2.243402481,-4.205378532,-2.591038942,male_happy
-401.7625233,34.81660413,11.72890521,13.08206613,0.95003824,-1.869820378,-3.90364046,-9.18630371,-12.56075751,-7.492821932,-2.760810566,-2.081105001,-0.954483427,-2.283389299,-1.146167437,-0.680967365,-6.539873347,-3.78719423,-1.229280321,-4.114725432,male_happy
-611.4365234,77.7400589,-6.393214703,27.19638252,-6.558446407,-1.204439282,-13.11231899,-12.50998402,-24.37034416,-1.412818909,-4.472608089,-5.530230999,-0.853923678,-8.548875809,-2.834189415,-2.863905668,-16.45868492,-1.650880933,-5.406707764,-5.517659187,male_happy
-515.2802734,73.1222229,-11.74718094,10.4791708,-4.991673946,0.182221413,-20.80030823,-10.26721382,-17.74853516,-10.21004009,-3.646775246,-8.465453148,-5.25775671,-3.81667161,-11.9317379,0.973196149,-13.53703785,-3.341959715,-6.382519722,-5.893175602,male_happy
-438.7009353,55.23679367,-5.5205005,5.169801779,-3.091366694,-4.204394571,-16.27404344,-12.82804154,-14.22016598,-10.79141926,-4.036341865,-6.886141156,-4.340347339,-5.293174514,-8.080036052,-2.471646649,-10.39953772,-4.132772553,-3.730189457,-6.465419746,male_happy
-575.288208,72.25547028,-14.63668251,10.34144592,-7.465108395,-0.175864026,-24.80465889,-9.993831635,-21.17331886,-8.408151627,-4.393114567,-7.045123577,-3.681057453,-5.741712093,-11.79234695,0.132571757,-14.60657406,-1.215457678,-8.990470886,-7.34327507,male_happy
-488.00354,80.44390869,-18.5156002,10.51223564,0.911497355,-1.684113503,-17.83200645,-8.1521492,-22.76810074,-10.23390293,1.71502471,-10.11074638,-3.766627073,-1.599646449,-11.34111691,1.747034431,-12.14298344,-6.878705025,-4.889081955,-5.648409367,male_happy
-425.9718931,58.43018038,-9.953369924,6.813338523,2.169415499,-3.430294553,-13.06053679,-9.925736105,-18.5396541,-11.16423256,0.793061838,-7.745583853,-2.985648517,-2.305119032,-8.213011678,-0.989116955,-9.396381607,-7.045600582,-2.727867956,-6.685569946,male_happy
-545.2438354,79.19985962,-21.15536308,10.95149517,-2.819481373,-4.33665514,-21.30786896,-9.251194954,-25.60001755,-6.613129616,-0.644842923,-11.10262871,-1.758700728,-4.845800877,-10.63326645,1.20407939,-14.84315872,-4.341742039,-6.575874329,-7.861319065,male_happy
-413.8728027,75.92959595,-19.63833427,14.02538681,-3.974118233,-2.474716187,-19.78027153,-11.72791767,-31.21753883,-5.871707916,-3.12446475,-12.45531559,-2.233496666,-4.189034939,-13.57542038,4.561650753,-17.18854523,-4.272744179,-5.71288538,-5.78492403,male_happy
-304.607742,38.1816652,1.336401055,5.085548681,-0.269343116,-4.442707763,-9.969340752,-10.81922184,-16.69890658,-6.529576611,-1.982447349,-6.565329256,-1.022026356,-3.267311155,-5.331558705,-0.382886417,-7.756870407,-5.517815451,-1.692275493,-5.36834931,male_happy
-467.684845,75.33576965,-22.94021606,13.9853096,-6.061993599,-3.587957859,-21.53924751,-15.434268,-32.30364609,0.223262414,-4.367162704,-10.90877438,-1.045645475,-8.680778503,-9.519817352,3.105699778,-19.2498951,0.579316199,-7.529275894,-7.105494976,male_happy
-425.7555237,80.31716919,-18.0181427,12.19218063,-4.578494072,-3.508372068,-19.41573715,-12.64721107,-30.37470818,-8.950950623,-5.572182178,-8.838240623,-3.245667934,-2.106607199,-14.46867847,2.720742464,-15.72491932,-6.876211643,-6.217588425,-3.089267492,male_happy
-335.4296541,45.10067982,-0.357908924,4.154293054,-0.854499736,-4.703752224,-9.614111909,-12.23872313,-18.27276097,-8.939363591,-2.951990042,-4.640850271,-0.968679919,-2.286687082,-7.034844813,-1.519769294,-7.612934492,-7.383438459,-2.217888767,-3.262697532,male_happy
-480.3497009,77.02572632,-20.64506912,11.52858639,-7.189341068,-4.580809116,-22.67604256,-17.44142342,-31.3448143,-5.077488422,-6.832301617,-7.242486477,-2.573512554,-5.921453953,-11.6471138,0.107992835,-18.42227936,-3.172215462,-4.394095421,-4.074763775,male_happy
-592.7104492,94.78401947,-6.27581358,23.98634529,7.87641716,-2.063421965,-6.037539959,-10.77196121,-19.13904953,-4.597890377,-8.795964241,-0.565536916,-3.63697505,-8.048503876,-5.226264,-0.281129718,-10.3464489,-5.512244225,-6.50039959,0.118746758,male_sad
-401.9852402,25.761677,11.99294833,9.971217125,5.762557326,1.172844182,-2.36766333,-6.684001327,-7.035203005,-5.518431887,-3.252903721,-0.956688434,-1.281373901,-2.133785338,-2.64848501,-1.681888242,-3.721783886,-4.080483621,-2.237363944,-2.735039816,male_sad
-647.5623779,89.17736053,-8.290186882,23.77101326,3.671184063,-4.380957603,-9.160455704,-16.04373932,-19.11248016,-3.170855761,-8.61671257,-0.202639997,-5.728782654,-7.57055521,-4.681154728,-2.331984282,-11.39837456,-4.521863937,-2.515601397,-2.590014219,male_sad
-627.7762451,90.0561142,-8.412247658,22.41693497,7.512364864,0.082551293,-3.008897066,-9.020165443,-16.93714142,-5.532744408,-4.366345882,-0.64804405,-4.282390594,-2.959348679,-2.911035538,0.506370306,-7.185637474,-2.224728107,-3.873020887,1.415945411,male_sad
-430.4457091,28.94027439,10.63330489,10.95194531,6.314336842,0.298439073,-1.57134028,-5.554660288,-8.890693424,-6.809376696,-2.861210275,-1.095422494,-2.043898054,-2.818691019,-1.516263658,-0.239304623,-3.455105659,-3.483621674,-1.148617138,-1.943337987,male_sad
-686.6468506,85.73390961,-11.05086422,24.49648857,4.021199703,-0.695126474,-5.819423199,-12.62815952,-18.05335236,-3.428770542,-4.127660751,-0.488655716,-4.958366394,-1.550550461,-3.412465572,-0.914523304,-7.763999939,-2.325459242,-3.883647919,-1.814863443,male_sad
-668.5452881,86.74220276,-6.970329762,21.79951477,7.124261379,-0.419285595,-4.504295349,-8.614638329,-17.36606407,-3.407382488,-3.232380629,-0.0564203,-3.567138433,-2.970990896,-5.479822159,1.261287689,-7.9057374,-7.209425926,-2.380204201,0.693520784,male_sad
-566.8767391,59.5776615,3.909720819,15.69070838,7.767036022,-1.267963279,-4.081733109,-10.68551183,-14.42564074,-5.963281422,-1.651898544,-1.363990282,-2.628205877,-3.315198234,-3.889610682,0.196182617,-6.963750082,-7.104655396,-0.382204928,-0.941006285,male_sad
-715.9442139,81.4258728,-8.698191643,22.581707,3.696178198,-3.584411621,-7.503795624,-13.22735596,-18.5352459,-2.14264226,-3.118857145,-2.142083168,-6.140632153,-4.420783043,-4.409016609,0.357339025,-11.30473804,-5.712681293,-0.108663492,-4.562460899,male_sad
-652.460022,81.92184448,-1.465165019,22.68138695,5.879748821,1.342994809,-0.368654668,-8.491629601,-18.45231247,-3.708845854,-5.010887623,-1.756384969,-1.757125616,-3.994920492,-5.061878681,3.914087534,-5.764744282,-4.588632107,-3.602214575,0.933726192,male_sad
-445.4332293,29.4313159,11.87018294,13.02007347,4.950555153,0.484080853,-1.12694088,-7.80676137,-10.19117995,-6.258226752,-2.733327058,-2.023028735,-1.660046644,-2.667679511,-2.33066483,1.648891786,-2.365558586,-3.973433177,-0.041407322,-1.609541089,male_sad
-706.0244141,78.39209747,-5.174023628,23.94208527,3.712009192,0.648366451,-4.852909565,-15.37906933,-20.56290817,-2.555518389,-5.085306644,-1.227639198,-3.908185005,-5.906864643,-2.764709473,4.766896248,-7.240220547,-4.456164837,-2.080040216,-2.480400562,male_sad
-582.7258911,95.00275421,-3.260373354,25.9889698,7.745578766,-2.01452589,-5.264663696,-10.47274876,-17.86858368,-1.239764571,-6.966062546,-2.952027321,-3.384981394,-6.964143753,-5.161426544,2.349802732,-10.27725315,-3.846679211,-6.21754837,0.537842035,male_sad
-488.6770997,58.05767138,10.99867708,17.46042435,7.133652275,-1.294964342,-4.474538101,-11.28263484,-13.81211343,-5.975887915,-4.633883062,-3.575799779,-2.581184116,-5.423127298,-4.590642851,0.190517434,-6.637731751,-6.572274379,-2.133059028,-3.227313169,male_sad
-640.9568481,90.98762512,-5.525982857,27.744133,3.503204823,-1.207112074,-8.462601662,-14.27537251,-18.13101196,0.984669328,-7.53258276,-1.070887685,-5.393728733,-6.034563065,-2.563123703,-0.072631426,-12.72735977,-3.269920588,-5.26701498,-2.065041304,male_sad
-547.2723389,77.57594299,-9.342755318,17.58762169,3.494641542,-3.426759958,-14.80504513,-8.658650398,-24.41387177,-4.704715729,-5.076817036,-8.570005417,-1.196134329,-5.613451481,-9.185670853,3.345946312,-14.97883701,-3.629041672,-2.415462971,-2.66555953,male_sad
-407.6403131,39.27136092,6.372200489,10.13734342,4.304493735,-3.805693609,-6.607448306,-9.092757092,-13.25346158,-7.20256991,-3.281059512,-3.920146529,-2.033542147,-4.419437253,-3.888721455,-0.844990025,-6.537849754,-4.586603129,-0.278809862,-3.382366058,male_sad
-615.9923096,76.64211273,-11.5583744,18.18441391,-0.045990668,-3.410752535,-15.98769569,-9.897399902,-25.47594452,-0.615085065,-7.499276638,-6.801403522,-1.542053938,-8.153839111,-7.329376221,-0.323615402,-16.89259338,0.049654305,-3.600999594,-5.276836872,male_sad
-536.9592285,83.7411499,-10.46280766,22.28272629,3.996119976,-2.346733332,-11.92721176,-12.10531044,-29.24931717,-5.595099449,-5.074461937,-9.20266819,-1.027842999,-6.811413288,-7.108395576,3.50516057,-11.44669628,-5.538450241,-5.582327366,-2.71318078,male_sad
-336.9787497,26.73449892,8.104727632,8.084835808,3.353519174,-1.256974324,-4.670162514,-9.477343003,-11.94777513,-7.469848754,-3.364874848,-3.296868988,-0.662983981,-1.045608385,-1.912622018,0.067515594,-3.067041992,-4.244621458,-1.32465719,-2.185303624,male_sad
-598.4078369,81.07265472,-10.12836647,23.34507179,-1.75411284,-5.276576996,-15.85080338,-15.81829643,-31.88036346,-3.295282602,-8.102210045,-7.231437206,-0.75127393,-9.558984756,-5.567905426,1.311662436,-13.99185276,-4.524972916,-6.900100231,-6.755643368,male_sad
-511.1438293,78.22734833,-8.788878441,22.29982185,0.85896349,-2.152564526,-12.96687508,-10.87096024,-26.23438835,-3.471669436,-4.351560593,-6.899270535,-1.565498114,-7.454589844,-7.949363232,3.993737459,-13.85517025,-4.784949303,-6.025811195,-2.337339401,male_sad
-353.8878157,33.50318633,7.665586882,11.69584831,2.140920122,-2.886445976,-7.12345171,-12.10873888,-13.66838296,-7.165012687,-2.865441075,-3.541007743,-1.398917824,-3.069685643,-3.216644923,0.822181654,-5.359515232,-5.955557457,-0.969004641,-3.12291948,male_sad
-567.1567993,74.4789505,-11.5860815,21.17292976,-4.430669308,-3.091460705,-17.29430008,-16.20494843,-26.84573936,-0.257091373,-5.819281578,-5.47857523,-3.751859903,-9.982391357,-5.429766178,1.478150725,-14.29271698,-1.881167531,-6.323127747,-4.447271824,male_sad
-446.0289612,68.15930939,-12.05345535,21.99183846,-4.932635307,-2.062798977,-9.173194885,0.05954843,-21.72418213,-5.100488186,-3.637296438,-5.150752544,-3.321007729,-5.072350979,-7.157635689,-0.859581113,-11.49217415,-1.119333744,-7.924631596,-3.586032152,male_angry
-283.0184075,24.72253837,4.833718154,8.06109178,-1.05884713,-3.727118229,-1.870940877,-2.280184281,-8.515441826,-6.108356357,-1.307123336,-2.890706662,-1.469281486,-2.467501788,-3.235900167,-2.393367937,-4.362577092,-2.864010328,-2.082423223,-3.566885401,male_angry
-496.8409729,63.06056976,-13.29275227,22.19042206,-10.2536087,-2.971696377,-11.49561405,-2.620778561,-24.90543175,-2.22250843,-5.347390175,-4.143642902,-3.89196372,-6.943808079,-6.905673981,-2.305544615,-12.11029434,-0.360943496,-8.705072403,-4.187852859,male_angry
-417.8007202,66.22834778,-12.22222996,15.8789587,-8.705159187,-2.482947111,-14.33080673,-10.20843124,-23.54926682,-7.445847511,-9.737225533,-7.57604599,-8.104135513,-4.901694775,-9.598370552,-2.493606567,-15.53303432,-0.672975779,-10.92328262,-4.799972057,male_angry
-353.6274398,44.44910832,-1.102513763,11.54881577,-5.722393719,-4.215318288,-8.507918174,-9.282791437,-15.32533366,-9.568306874,-6.640502841,-7.17663263,-5.235833377,-4.940785443,-6.274920806,-4.163220761,-10.69691279,-3.69305228,-6.464166834,-5.735660723,male_angry
-471.4176636,63.86600113,-15.86028671,17.97390747,-12.83168602,-4.264275074,-17.92855263,-13.20445824,-26.73179626,-6.214788437,-11.32515812,-6.919560909,-8.907702446,-5.555344105,-10.70591164,-5.809837341,-16.89500237,-0.33583793,-12.9137907,-3.030922174,male_angry
-506.191803,65.60772705,-4.349033356,18.53854752,-2.662984133,-0.491753161,-9.362172127,-7.21049118,-20.74985504,-3.850341797,-6.992245197,-4.414871693,-3.196690559,-5.86505127,-4.909368992,0.732596695,-12.38559055,-2.441984415,-4.506711006,-4.835091114,male_angry
-321.6132347,23.90569651,8.902625207,8.208744886,-0.742334501,-2.020035272,-3.996169385,-6.402990032,-9.524482277,-5.555948622,-4.023363153,-3.125982619,-2.657427305,-2.64870213,-2.202050587,-0.851371475,-5.117694916,-2.703605665,-0.175138025,-4.130193191,male_angry
-554.9636841,62.73417282,-6.354812145,16.29478645,-6.981364727,-0.897393823,-13.21881771,-11.46376228,-22.01449013,-2.090586424,-8.225341797,-2.86868453,-4.391002178,-5.403262138,-4.403026581,-2.155292988,-13.86630821,-0.460925192,-5.724180698,-5.848699093,male_angry
-445.0835571,68.37007904,-6.881757259,15.34157467,-2.642796278,-2.822220087,-9.121636391,-7.37345171,-24.91917229,-5.14630127,-6.144823074,-6.384144306,-2.015764236,-5.847659111,-8.893101692,3.025885582,-15.64687634,-0.39071247,-4.515747547,-5.720461369,male_angry
-293.2084799,26.53294468,6.702245963,7.927177986,-1.07110047,-2.700198686,-3.823364693,-7.231361977,-12.18149655,-6.952959049,-3.564464468,-2.650797084,-1.283308532,-3.216815889,-3.673232469,0.502746304,-6.58055961,-2.427280047,-1.259516204,-4.470421468,male_angry
-496.2902832,66.15983582,-9.096154213,15.03871536,-6.20431757,-4.356201172,-11.72531796,-11.51284695,-26.57866669,-2.441696167,-8.024437904,-5.109003544,-3.494299173,-9.121774673,-7.730294228,-1.154183865,-17.12604141,1.293696165,-7.224200726,-5.987627983,male_angry
-231.4648438,47.6897316,-34.42900848,3.580120564,-23.03699684,-5.43037653,-23.72466087,-15.68589401,-23.99279022,-10.18001747,-12.91066456,-3.985326767,-13.97570896,-6.760632515,-10.86511421,0.956562817,-14.41227913,6.434075832,0.437501192,8.802863121,male_angry
